timestamp,elapsed_time,current_speed,tempomat_target,original_tempomat,distance_to_lead,lead_vehicle_speed,distronic_active,distronic_speed,our_position,lead_position
1752779377.0511575,30.222450256347656,116,116,120,99.13888888888891,115,True,116,460.944444444444,560.0833333333329
1752779377.1592124,30.33050513267517,116,116,120,99.11111111111114,115,True,116,464.16666666666623,563.2777777777774
1752779377.269856,30.44114875793457,116,116,120,99.08333333333337,115,True,116,467.38888888888846,566.4722222222218
1752779377.3780656,30.549358367919922,116,116,120,99.0555555555556,115,True,116,470.6111111111107,569.6666666666663
1752779377.484157,30.655449867248535,116,116,120,99.02777777777783,115,True,116,473.8333333333329,572.8611111111107
1752779377.5933926,30.76468539237976,116,116,120,99.00000000000006,115,True,116,477.05555555555515,576.0555555555552
1752779377.7015276,30.872820377349854,116,116,120,98.97222222222229,115,True,116,480.2777777777774,579.2499999999997
1752779377.8089266,30.98021936416626,116,116,120,98.94444444444451,115,True,116,483.4999999999996,582.4444444444441
1752779377.9178684,31.089161157608032,116,116,120,98.91666666666674,115,True,116,486.72222222222183,585.6388888888886
1752779378.0274646,31.19875741004944,116,116,120,98.88888888888897,115,True,116,489.94444444444406,588.833333333333
1752779378.1361942,31.30748701095581,116,116,120,98.8611111111112,115,True,116,493.1666666666663,592.0277777777775
1752779378.2455733,31.416866064071655,116,116,120,98.83333333333343,115,True,116,496.3888888888885,595.222222222222
1752779378.3526165,31.523909330368042,116,116,120,98.80555555555566,115,True,116,499.61111111111074,598.4166666666664
1752779378.4600203,31.63131308555603,116,116,120,98.77777777777789,115,True,116,502.833333333333,601.6111111111109
1752779378.5679927,31.739285469055176,116,116,120,98.75000000000011,115,True,116,506.0555555555552,604.8055555555553
1752779378.6769798,31.848272562026978,116,116,120,98.72222222222234,115,True,116,509.27777777777743,607.9999999999998
1752779378.7854133,31.956706047058105,116,116,120,98.69444444444457,115,True,116,512.4999999999997,611.1944444444442
1752779378.8951135,32.06640625,116,116,120,98.66666666666686,115,True,116,515.7222222222218,614.3888888888887
1752779379.0049956,32.17628836631775,116,116,120,98.63888888888914,115,True,116,518.944444444444,617.5833333333331
1752779379.11358,32.28487277030945,116,116,120,98.61111111111143,115,True,116,522.1666666666662,620.7777777777776
1752779379.2218437,32.393136501312256,116,116,120,98.58333333333371,115,True,116,525.3888888888883,623.9722222222221
1752779379.328671,32.49996376037598,116,116,120,98.555555555556,115,True,116,528.6111111111105,627.1666666666665
1752779379.435675,32.60696768760681,116,116,120,98.52777777777828,115,True,116,531.8333333333327,630.361111111111
1752779379.5448053,32.71609807014465,116,116,120,98.50000000000057,115,True,116,535.0555555555549,633.5555555555554
1752779379.653816,32.825108766555786,116,116,120,98.47222222222285,115,True,116,538.277777777777,636.7499999999999
1752779379.7620144,32.93330717086792,116,116,120,98.44444444444514,115,True,116,541.4999999999992,639.9444444444443
1752779379.8690212,33.040313959121704,115,115,120,98.41666666666742,115,True,115,544.7222222222214,643.1388888888888
1752779379.9774044,33.14869713783264,116,116,120,98.41666666666742,115,True,116,547.9166666666658,646.3333333333333
1752779380.0858603,33.257153034210205,115,115,120,98.38888888888971,115,True,115,551.138888888888,649.5277777777777
1752779380.1945539,33.36584663391113,116,116,120,98.38888888888971,115,True,116,554.3333333333325,652.7222222222222
1752779380.3019876,33.47328042984009,115,115,120,98.361111111112,115,True,115,557.5555555555546,655.9166666666666
1752779380.408863,33.58015584945679,116,116,120,98.361111111112,115,True,116,560.7499999999991,659.1111111111111
1752779380.5165832,33.68787598609924,115,115,120,98.33333333333428,115,True,115,563.9722222222213,662.3055555555555
1752779380.625324,33.79661679267883,116,116,120,98.33333333333428,115,True,116,567.1666666666657,665.5
1752779380.7340562,33.905349016189575,115,115,120,98.30555555555657,115,True,115,570.3888888888879,668.6944444444445
1752779380.8415914,34.01288414001465,116,116,120,98.30555555555657,115,True,116,573.5833333333323,671.8888888888889
1752779380.9511502,34.122442960739136,115,115,120,98.27777777777885,115,True,115,576.8055555555545,675.0833333333334
1752779381.0593214,34.23061418533325,116,116,120,98.27777777777885,115,True,116,579.999999999999,678.2777777777778
1752779381.1681259,34.33941864967346,115,115,120,98.25000000000114,115,True,115,583.2222222222211,681.4722222222223
1752779381.2754538,34.446746587753296,116,116,120,98.25000000000114,115,True,116,586.4166666666656,684.6666666666667
1752779381.3851557,34.556448459625244,115,115,120,98.22222222222342,115,True,115,589.6388888888878,687.8611111111112
1752779381.494331,34.66562366485596,116,116,120,98.22222222222342,115,True,116,592.8333333333322,691.0555555555557
1752779381.6023126,34.77360534667969,115,115,120,98.19444444444571,115,True,115,596.0555555555544,694.2500000000001
1752779381.710543,34.88183569908142,116,116,120,98.19444444444571,115,True,116,599.2499999999989,697.4444444444446
1752779381.8182702,34.98956298828125,115,115,120,98.166666666668,115,True,115,602.472222222221,700.638888888889
